CountryID,Country,Currency,Measure,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
144,Sri Lanka,Sri Lanka Rupee,AMA exchange rate,103.91,110.62,108.33,114.94,113.06,110.57,127.60,129.07,130.56,135.86,145.58,152.45,162.46,178.74,185.59,198.76,322.63,327.51
144,Sri Lanka,Sri Lanka Rupee,IMF based exchange rate,103.91,110.62,108.33,114.94,113.06,110.57,127.60,129.07,130.56,135.86,145.58,152.45,162.46,178.74,185.59,198.76,322.63,327.51
144,Sri Lanka,,Population,"20,352,411","20,492,545","20,629,378","20,756,435","20,879,089","21,009,048","21,169,458","21,358,827","21,547,456","21,729,971","21,910,772","22,087,522","22,253,118","22,410,552","22,561,807","22,700,372","22,834,965","22,971,617"
670,St. Vincent and the Grenadines,East Caribbean Dollar,AMA exchange rate,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
670,St. Vincent and the Grenadines,East Caribbean Dollar,IMF based exchange rate,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
670,St. Vincent and the Grenadines,,Population,"112,014","111,531","111,028","110,508","109,959","109,349","108,736","108,135","107,535","106,960","106,349","105,663","104,926","104,167","103,526","102,841","102,046","101,323"
275,State of Palestine,US Dollar,AMA exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
275,State of Palestine,US Dollar,IMF based exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
275,State of Palestine,,Population,"3,645,096","3,736,691","3,829,041","3,921,246","4,016,916","4,115,908","4,215,313","4,315,261","4,415,882","4,521,565","4,632,739","4,742,743","4,850,592","4,957,768","5,069,692","5,185,336","5,305,270","5,409,202"
729,Sudan,Sudanese Pound,AMA exchange rate,,,2.09,2.30,2.31,2.67,3.57,4.76,5.74,6.03,6.21,6.68,24.33,45.77,75.45,242.08,490.08,"1,451.88"
729,Sudan,Sudanese Pound,IMF based exchange rate,,,2.09,2.30,2.31,2.67,3.57,4.76,5.74,6.03,6.21,6.68,24.33,45.77,54.00,370.79,546.76,623.33
729,Sudan,,Population,,,"33,623,980","34,569,113","35,414,399","36,140,806","36,923,178","37,785,849","38,823,318","40,024,431","41,259,892","42,714,306","44,230,596","45,548,175","46,789,231","48,066,924","49,383,346","50,042,791"
736,Sudan (Former),Sudanese Pound,AMA exchange rate,2.17,2.02,2.09,2.30,2.31,,,,,,,,,,,,,
