CountryID,Country,Currency,Measure,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
886,Yemen Arab Republic (Former),Rial  ,AMA exchange rate,,,,,,,,,,,,,,,,,,
886,Yemen Arab Republic (Former),Rial  ,IMF based exchange rate,,,,,,,,,,,,,,,,,,
886,Yemen Arab Republic (Former),,Population,,,,,,,,,,,,,,,,,,
720,Yemen Democratic (Former),Dinar,AMA exchange rate,,,,,,,,,,,,,,,,,,
720,Yemen Democratic (Former),Dinar,IMF based exchange rate,,,,,,,,,,,,,,,,,,
720,Yemen Democratic (Former),,Population,,,,,,,,,,,,,,,,,,
890,Yugoslavia (Former),Dinar,AMA exchange rate,,,,,,,,,,,,,,,,,,
890,Yugoslavia (Former),Dinar,IMF based exchange rate,,,,,,,,,,,,,,,,,,
890,Yugoslavia (Former),,Population,,,,,,,,,,,,,,,,,,
894,Zambia,Kwacha,AMA exchange rate,3.60,4.00,3.75,5.05,4.80,4.86,5.15,5.40,6.15,8.63,10.31,9.52,10.46,12.89,18.34,20.02,16.94,20.21
894,Zambia,Kwacha,IMF based exchange rate,3.60,4.00,3.75,5.05,4.80,4.86,5.15,5.40,6.15,8.63,10.31,9.52,10.46,12.89,18.34,20.02,16.94,20.21
894,Zambia,,Population,"12,129,553","12,565,085","13,021,324","13,490,389","13,965,594","14,437,796","14,913,629","15,398,997","15,895,315","16,399,089","16,914,423","17,441,320","17,973,569","18,513,839","19,059,395","19,603,607","20,152,938","20,723,965"
836,Zanzibar,Tanzanian Shilling,AMA exchange rate,"1,251.90","1,245.04","1,196.31","1,320.31","1,395.63","1,557.43","1,571.70","1,597.56","1,653.23","1,991.39","2,177.09","2,228.86","2,263.78","2,288.21","2,294.15","2,297.76","2,315.29","2,406.92"
836,Zanzibar,Tanzanian Shilling,IMF based exchange rate,"1,251.90","1,245.04","1,196.31","1,320.31","1,395.63","1,557.43","1,571.70","1,597.56","1,653.23","1,991.39","2,177.09","2,228.86","2,263.78","2,288.21","2,294.15","2,297.76","2,315.29","2,406.92"
836,Zanzibar,,Population,"1,144,000","1,139,776","1,173,736","1,205,783","1,239,706","1,277,785","1,303,569","1,348,776","1,394,690","1,441,183","1,488,036","1,534,291","1,579,849","1,625,589","1,671,598","1,717,608","1,762,989","1,807,581"
716,Zimbabwe,US Dollar,AMA exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
716,Zimbabwe,US Dollar,IMF based exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
716,Zimbabwe,,Population,"12,636,445","12,804,058","12,959,149","13,142,790","13,356,548","13,595,424","13,817,887","14,013,808","14,207,359","14,399,013","14,600,294","14,812,482","15,034,452","15,271,368","15,526,888","15,797,210","16,069,056","16,340,822"
